住宅價格月指數類別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價,標準住宅單價
全市大樓,99.45 ,100.37 ,100.90 ,-0.0031,-0.0086,0.0031,2078.00 ,58.22 
全市大樓,102.11 ,100.44 ,101.08 ,0.0267,0.0007,0.0018,2134.00 ,59.78 
全市大樓,101.45 ,101.00 ,101.12 ,-0.0064,0.0056,0.0004,2120.00 ,59.39 
全市大樓,101.21 ,101.59 ,100.98 ,-0.0024,0.0058,-0.0014,2115.00 ,59.25 
全市大樓,98.71 ,100.45 ,100.44 ,-0.0247,-0.0112,-0.0053,2063.00 ,57.79 
全市大樓,99.21 ,99.71 ,100.35 ,0.0051,-0.0074,-0.0009,2073.00 ,58.08 
全市大樓,102.59 ,100.17 ,100.88 ,0.0341,0.0046,0.0052,2144.00 ,60.06 
全市大樓,104.34 ,102.05 ,101.25 ,0.017,0.0187,0.0037,2181.00 ,61.08 
全市大樓,103.31 ,103.41 ,101.56 ,-0.0098,0.0134,0.0031,2159.00 ,60.48 
全市大樓,102.87 ,103.51 ,101.84 ,-0.0042,0.0009,0.0027,2150.00 ,60.23 
全市大樓,101.50 ,102.56 ,102.30 ,-0.0134,-0.0091,0.0046,2121.00 ,59.42 
全市大樓,101.88 ,102.08 ,102.75 ,0.0037,-0.0047,0.0043,2129.00 ,59.64 
全市大樓,100.09 ,101.15 ,102.33 ,-0.0176,-0.0091,-0.0041,2092.00 ,58.59 
全市大樓,98.66 ,100.21 ,101.38 ,-0.0143,-0.0094,-0.0092,2062.00 ,57.76 
全市大樓,96.71 ,98.49 ,100.28 ,-0.0197,-0.0172,-0.0109,2021.00 ,56.62 
全市大樓,96.17 ,97.18 ,99.17 ,-0.0056,-0.0133,-0.0111,2010.00 ,56.30 
全市大樓,95.69 ,96.19 ,98.20 ,-0.005,-0.0102,-0.0098,2000.00 ,56.02 
全市大樓,97.30 ,96.39 ,97.44 ,0.0168,0.002,-0.0078,2034.00 ,56.96 
全市大樓,98.18 ,97.06 ,97.12 ,0.0091,0.007,-0.0033,2052.00 ,57.48 
全市大樓,95.72 ,97.07 ,96.63 ,-0.0251,0.0001,-0.005,2001.00 ,56.04 
全市大樓,94.93 ,96.28 ,96.33 ,-0.0083,-0.0081,-0.0031,1984.00 ,55.57 
全市大樓,97.43 ,96.03 ,96.54 ,0.0263,-0.0026,0.0022,2036.00 ,57.04 
全市大樓,100.43 ,97.60 ,97.33 ,0.0308,0.0164,0.0082,2099.00 ,58.80 
全市大樓,97.78 ,98.55 ,97.41 ,-0.0264,0.0097,0.0008,2044.00 ,57.25 
全市大樓,99.10 ,99.11 ,97.57 ,0.0135,0.0057,0.0016,2071.00 ,58.02 
全市大樓,100.05 ,98.98 ,98.29 ,0.0096,-0.0013,0.0074,2091.00 ,58.57 
全市大樓,101.57 ,100.24 ,99.40 ,0.0152,0.0128,0.0113,2123.00 ,59.46 
全市大樓,99.83 ,100.48 ,99.80 ,-0.0172,0.0024,0.004,2086.00 ,58.44 
全市大樓,98.81 ,100.07 ,99.53 ,-0.0101,-0.0041,-0.0027,2065.00 ,57.85 
全市大樓,97.59 ,98.75 ,99.49 ,-0.0124,-0.0132,-0.0003,2040.00 ,57.13 
全市大樓,95.80 ,97.40 ,98.94 ,-0.0184,-0.0136,-0.0055,2002.00 ,56.08 
全市大樓,96.97 ,96.79 ,98.43 ,0.0122,-0.0063,-0.0052,2027.00 ,56.77 
全市大樓,97.06 ,96.61 ,97.68 ,0.001,-0.0018,-0.0076,2029.00 ,56.82 
全市大樓,96.60 ,96.87 ,97.14 ,-0.0047,0.0028,-0.0055,2019.00 ,56.55 
全市大樓,99.28 ,97.64 ,97.22 ,0.0277,0.008,0.0008,2075.00 ,58.12 
全市大樓,101.33 ,99.07 ,97.84 ,0.0207,0.0146,0.0064,2118.00 ,59.32 
全市大樓,100.45 ,100.35 ,98.61 ,-0.0087,0.013,0.0079,2099.00 ,58.81 
全市大樓,101.83 ,101.20 ,99.42 ,0.0137,0.0085,0.0082,2128.00 ,59.61 
全市大樓,101.39 ,101.23 ,100.15 ,-0.0042,0.0002,0.0073,2119.00 ,59.36 
全市大樓,102.78 ,102.00 ,101.18 ,0.0136,0.0076,0.0103,2148.00 ,60.17 
全市大樓,103.12 ,102.43 ,101.82 ,0.0034,0.0042,0.0063,2155.00 ,60.37 
全市大樓,100.29 ,102.06 ,101.64 ,-0.0274,-0.0036,-0.0017,2096.00 ,58.71 
全市大樓,99.26 ,100.89 ,101.45 ,-0.0102,-0.0115,-0.002,2075.00 ,58.11 
全市大樓,101.21 ,100.25 ,101.34 ,0.0196,-0.0063,-0.001,2115.00 ,59.25 
全市大樓,101.84 ,100.77 ,101.42 ,0.0062,0.0051,0.0007,2128.00 ,59.62 
全市大樓,102.81 ,101.95 ,101.42 ,0.0095,0.0117,0,2149.00 ,60.19 
全市大樓,99.78 ,101.47 ,100.86 ,-0.0294,-0.0047,-0.0055,2085.00 ,58.41 
全市大樓,99.09 ,100.56 ,100.66 ,-0.0069,-0.009,-0.002,2071.00 ,58.01 
全市大樓,97.00 ,98.62 ,100.29 ,-0.021,-0.0192,-0.0037,2027.00 ,56.79 
全市大樓,96.32 ,97.47 ,99.47 ,-0.007,-0.0117,-0.0081,2013.00 ,56.39 
全市大樓,96.51 ,96.61 ,98.58 ,0.0019,-0.0088,-0.0089,2017.00 ,56.50 
全市大樓,98.07 ,96.97 ,97.79 ,0.0162,0.0037,-0.008,2050.00 ,57.41 
全市大樓,97.40 ,97.33 ,97.40 ,-0.0068,0.0037,-0.0041,2036.00 ,57.02 
全市大樓,99.10 ,98.19 ,97.40 ,0.0174,0.0089,0,2071.00 ,58.01 
全市大樓,97.29 ,97.93 ,97.45 ,-0.0182,-0.0026,0.0005,2033.00 ,56.96 
全市大樓,98.20 ,98.20 ,97.76 ,0.0094,0.0027,0.0032,2052.00 ,57.49 
全市大樓,99.43 ,98.31 ,98.25 ,0.0125,0.0011,0.005,2078.00 ,58.21 
全市大樓,98.57 ,98.73 ,98.33 ,-0.0086,0.0043,0.0008,2060.00 ,57.71 
全市大樓,98.90 ,98.97 ,98.58 ,0.0033,0.0024,0.0025,2067.00 ,57.90 
全市大樓,99.71 ,99.06 ,98.68 ,0.0082,0.0009,0.001,2084.00 ,58.37 
全市大樓,98.36 ,98.99 ,98.86 ,-0.0135,-0.0007,0.0018,2056.00 ,57.58 
全市大樓,100.98 ,99.68 ,99.33 ,0.0266,0.007,0.0047,2110.00 ,59.12 
全市大樓,102.32 ,100.55 ,99.81 ,0.0133,0.0087,0.0048,2139.00 ,59.90 
全市大樓,103.32 ,102.21 ,100.60 ,0.0098,0.0164,0.0079,2159.00 ,60.49 
全市大樓,103.44 ,103.03 ,101.36 ,0.0012,0.008,0.0075,2162.00 ,60.56 
全市大樓,104.16 ,103.64 ,102.10 ,0.007,0.006,0.0073,2177.00 ,60.98 
全市大樓,104.13 ,103.91 ,103.06 ,-0.0003,0.0026,0.0094,2176.00 ,60.96 
全市大樓,104.38 ,104.22 ,103.63 ,0.0024,0.003,0.0055,2182.00 ,61.11 
全市大樓,104.25 ,104.25 ,103.95 ,-0.0012,0.0003,0.0031,2179.00 ,61.03 
全市大樓,104.30 ,104.31 ,104.11 ,0.0005,0.0005,0.0016,2180.00 ,61.06 
全市大樓,104.36 ,104.30 ,104.26 ,0.0006,-0.0001,0.0015,2181.00 ,61.09 
全市大樓,105.48 ,104.71 ,104.48 ,0.0107,0.0039,0.0021,2204.00 ,61.75 
全市大樓,106.14 ,105.33 ,104.82 ,0.0063,0.0059,0.0032,2218.00 ,62.14 
全市大樓,105.23 ,105.62 ,104.96 ,-0.0086,0.0028,0.0014,2199.00 ,61.61 
全市大樓,106.17 ,105.85 ,105.28 ,0.0089,0.0022,0.003,2219.00 ,62.16 
全市大樓,106.84 ,106.08 ,105.70 ,0.0063,0.0022,0.004,2233.00 ,62.55 
全市大樓,107.84 ,106.95 ,106.28 ,0.0094,0.0082,0.0055,2254.00 ,63.14 
全市小宅,82.81 ,0.00 ,0.00 ,0,0,0,715.00 ,51.11 
全市小宅,82.90 ,0.00 ,0.00 ,0.0011,0,0,716.00 ,51.16 
全市小宅,84.57 ,83.43 ,0.00 ,0.0201,0,0,731.00 ,52.19 
全市小宅,83.43 ,83.63 ,0.00 ,-0.0135,0.0025,0,721.00 ,51.49 
全市小宅,84.83 ,84.28 ,0.00 ,0.0168,0.0077,0,733.00 ,52.35 
全市小宅,84.93 ,84.40 ,83.91 ,0.0012,0.0014,0,734.00 ,52.42 
全市小宅,86.42 ,85.39 ,84.51 ,0.0175,0.0118,0.0072,747.00 ,53.34 
全市小宅,87.61 ,86.32 ,85.30 ,0.0138,0.0109,0.0093,757.00 ,54.07 
全市小宅,89.34 ,87.79 ,86.09 ,0.0197,0.017,0.0093,772.00 ,55.13 
全市小宅,91.91 ,89.62 ,87.51 ,0.0288,0.0208,0.0164,794.00 ,56.72 
全市小宅,94.31 ,91.85 ,89.09 ,0.0261,0.0249,0.0181,815.00 ,58.20 
全市小宅,93.93 ,93.38 ,90.59 ,-0.004,0.0167,0.0168,812.00 ,57.97 
全市小宅,94.91 ,94.38 ,92.00 ,0.0104,0.0107,0.0156,820.00 ,58.57 
全市小宅,97.23 ,95.36 ,93.61 ,0.0244,0.0103,0.0174,840.00 ,60.01 
全市小宅,97.29 ,96.48 ,94.93 ,0.0006,0.0117,0.0142,841.00 ,60.04 
全市小宅,97.12 ,97.21 ,95.80 ,-0.0017,0.0076,0.0091,839.00 ,59.94 
全市小宅,97.48 ,97.30 ,96.33 ,0.0037,0.0009,0.0055,842.00 ,60.16 
全市小宅,101.56 ,98.72 ,97.60 ,0.0419,0.0146,0.0132,878.00 ,62.68 
全市小宅,104.09 ,101.04 ,99.13 ,0.0249,0.0235,0.0157,899.00 ,64.24 
全市小宅,101.75 ,102.47 ,99.88 ,-0.0225,0.0141,0.0076,879.00 ,62.80 
全市小宅,102.21 ,102.68 ,100.70 ,0.0045,0.0021,0.0082,883.00 ,63.08 
全市小宅,104.30 ,102.75 ,101.90 ,0.0204,0.0007,0.0119,901.00 ,64.37 
全市小宅,103.44 ,103.32 ,102.89 ,-0.0082,0.0055,0.0097,894.00 ,63.84 
全市小宅,105.30 ,104.35 ,103.52 ,0.018,0.01,0.0061,910.00 ,64.98 
